ZONEID,ZONELABEL,cycletowork,age25to34,travel10to20km,zerocarsvans
E05000400,Alexandra,2.637099,16.1,22.2,11.1
E05000401,Berrylands,3.152266,24.7,29.7,22.5
E05000402,Beverley,2.873876,19.4,29,19.8
E05000403,Canbury,4.277959,24.8,32.9,21.9
E05000404,Chessington North and Hook,1.765169,17.8,18,12.9
E05000405,Chessington South,1.633856,19.8,18,10.6
E05000406,Coombe Hill,1.897657,18.2,27.7,18.1
E05000407,Coombe Vale,2.834467,17.5,30.7,14
E05000408,Grove,2.924822,27.1,30.8,31.5
E05000409,Norbiton,3.488671,24.8,22.3,32.5
E05000410,Old Malden,1.449696,17.3,27.6,11
E05000411,St James,1.935988,16.4,27.2,11
E05000412,St Mark's,2.764045,29.1,32.1,26.7
E05000413,Surbiton Hill,2.687697,28,26.9,20.6
E05000414,Tolworth and Hook Rise,2.050998,21.2,18.5,14.4
E05000415,Tudor,4.890012,15,28.3,11.3
E05000416,Bishop's,3.973269,28.9,4.7,63.6
E05000417,Brixton Hill,7.121106,37.7,7.8,54.9
E05000418,Clapham Common,6.652628,41.9,7.5,41.6
E05000419,Clapham Town,6.410369,41.2,5.9,50.1
E05000420,Coldharbour,4.696089,31,7.6,63.5
E05000421,Ferndale,5.847724,42.9,6.7,60.6
E05000422,Gipsy Hill,3.966844,26.3,24.1,42.3
E05000423,Herne Hill,8.585859,31.8,7.6,50
E05000424,Knight's Hill,3.084689,25.4,19.2,40.7
E05000425,Larkhall,5.558359,38.7,6,59
E05000426,Oval,6.32658,36.9,5.8,63
E05000427,Prince's,5.806108,30,5.1,60.3
E05000428,St Leonard's,4.211616,36.5,22.1,43.1
E05000429,Stockwell,5.711821,33.1,6,60.8
E05000430,Streatham Hill,5.227991,33.7,10.6,45.5
E05000431,Streatham South,2.581253,26.3,27.7,34.2
E05000432,Streatham Wells,3.826575,34.6,17.8,44
E05000433,Thornton,5.539728,33,9.7,42.9
E05000434,Thurlow Park,5.618526,29.5,10.6,39.8
E05000435,Tulse Hill,6.345623,32.3,8.6,55.2
E05000436,Vassall,5.920817,30.5,6.5,56.4
E05000437,Bellingham,1.141862,20.7,24.4,37.8
E05000438,Blackheath,2.700178,30.6,22.7,37.8
E05000439,Brockley,3.533845,33,11.2,51.8
E05000440,Catford South,1.670709,18.2,27.1,26.1
E05000441,Crofton Park,3.868421,26.5,15.8,34.4
E05000442,Downham,0.980981,20.2,27.9,34.4
E05000443,Evelyn,2.571591,31.1,11.3,55
E05000444,Forest Hill,3.139217,26.8,16.9,37.5
E05000445,Grove Park,1.415183,21.6,34.4,28.8
E05000446,Ladywell,3.614138,27.2,17.6,42
E05000447,Lee Green,2.636603,25.6,32.8,32.6
E05000448,Lewisham Central,2.199587,34.7,25.9,49.7
E05000449,New Cross,2.996716,29.7,12.5,55.7
E05000450,Perry Vale,2.801576,25.9,22.2,35.9
E05000451,Rushey Green,1.805087,25.9,21.8,46.2
E05000452,Sydenham,1.732052,25.3,27.7,38.7
E05000453,Telegraph Hill,4.247802,31.4,10.9,48.4
E05000454,Whitefoot,0.978978,20.1,25.7,31.9
E05000455,Abbey,2.848485,38.8,42.2,35.9
E05000456,Cannon Hill,2.241828,18.3,28.1,13.5
E05000457,Colliers Wood,3.126777,36.7,33.2,38.2
E05000458,Cricket Green,1.42244,23.3,21.2,35
E05000459,Dundonald,2.858706,37.1,45.4,26.7
E05000460,Figge's Marsh,1.677688,25.1,22.9,34.1
